title,url
O! My Genesis VR (PS4),https://www.metacritic.com/game/playstation-4/o!-my-genesis-vr
Obduction (PS4),https://www.metacritic.com/game/playstation-4/obduction
Obey Me (PS4),https://www.metacritic.com/game/playstation-4/obey-me
Obliteracers (PS4),https://www.metacritic.com/game/playstation-4/obliteracers
Observation (PS4),https://www.metacritic.com/game/playstation-4/observation
Observer (PS4),https://www.metacritic.com/game/playstation-4/observer
Observer: System Redux (PS4),https://www.metacritic.com/game/playstation-4/observer-system-redux
Ocean Descent (PS4),https://www.metacritic.com/game/playstation-4/ocean-descent
Oceanhorn: Monster of Uncharted Seas (PS4),https://www.metacritic.com/game/playstation-4/oceanhorn-monster-of-uncharted-seas
OctaFight (PS4),https://www.metacritic.com/game/playstation-4/octafight
Octahedron (PS4),https://www.metacritic.com/game/playstation-4/octahedron
Octodad: Dadliest Catch (PS4),https://www.metacritic.com/game/playstation-4/octodad-dadliest-catch
Octopath Traveler II (PS4),https://www.metacritic.com/game/playstation-4/octopath-traveler-ii
Odallus: The Dark Call (PS4),https://www.metacritic.com/game/playstation-4/odallus-the-dark-call
OddBallers (PS4),https://www.metacritic.com/game/playstation-4/oddballers
Oddworld: Abe's Exoddus (PS4),https://www.metacritic.com/game/playstation-4/oddworld-abes-exoddus
Oddworld: Abe's Oddysee (PS4),https://www.metacritic.com/game/playstation-4/oddworld-abes-oddysee
Oddworld: Abe's Oddysee - New 'n' Tasty (PS4),https://www.metacritic.com/game/playstation-4/oddworld-abes-oddysee---new-n-tasty
Oddworld: Abe's Oddysee - New 'n' Tasty: Alf's Escape (PS4),https://www.metacritic.com/game/playstation-4/oddworld-abes-oddysee---new-n-tasty-alfs-escape
Oddworld: Soulstorm (PS4),https://www.metacritic.com/game/playstation-4/oddworld-soulstorm
Oddworld: Soulstorm Enhanced Edition (PS4),https://www.metacritic.com/game/playstation-4/oddworld-soulstorm-enhanced-edition
Oddworld: Stranger's Wrath HD (PS4),https://www.metacritic.com/game/playstation-4/oddworld-strangers-wrath-hd
Odin Sphere Leifthrasir (PS4),https://www.metacritic.com/game/playstation-4/odin-sphere-leifthrasir
Of Bird and Cage (PS4),https://www.metacritic.com/game/playstation-4/of-bird-and-cage
Of Mice and Sand: Revised (PS4),https://www.metacritic.com/game/playstation-4/of-mice-and-sand-revised
Of Tanks and Demons III (PS4),https://www.metacritic.com/game/playstation-4/of-tanks-and-demons-iii
Off And On Again (PS4),https://www.metacritic.com/game/playstation-4/off-and-on-again
Offroad Moto Bike (PS4),https://www.metacritic.com/game/playstation-4/offroad-moto-bike
Offroad Racing (PS4),https://www.metacritic.com/game/playstation-4/offroad-racing
Offroad Racing - Buggy X ATV X Moto (PS4),https://www.metacritic.com/game/playstation-4/offroad-racing---buggy-x-atv-x-moto
Ogre: Console Edition (PS4),https://www.metacritic.com/game/playstation-4/ogre-console-edition
Oh My Godheads (PS4),https://www.metacritic.com/game/playstation-4/oh-my-godheads
Oh! Edo Towns (PS4),https://www.metacritic.com/game/playstation-4/oh!-edo-towns
Oh...Sir! The Hollywood Roast (PS4),https://www.metacritic.com/game/playstation-4/ohsir!-the-hollywood-roast
Oh...Sir! The Insult Simulator (PS4),https://www.metacritic.com/game/playstation-4/ohsir!-the-insult-simulator
OhShape (PS4),https://www.metacritic.com/game/playstation-4/ohshape
OK K.O.! Let's Play Heroes (PS4),https://www.metacritic.com/game/playstation-4/ok-ko!-lets-play-heroes
Okage: Shadow King (PS4),https://www.metacritic.com/game/playstation-4/okage-shadow-king
Okami HD (PS4),https://www.metacritic.com/game/playstation-4/okami-hd
Okinawa Rush (PS4),https://www.metacritic.com/game/playstation-4/okinawa-rush
Oktoberfest Break (PS4),https://www.metacritic.com/game/playstation-4/oktoberfest-break
Oktoberfest Break Head to Head (PS4),https://www.metacritic.com/game/playstation-4/oktoberfest-break-head-to-head
Oktoberfest Fun (PS4),https://www.metacritic.com/game/playstation-4/oktoberfest-fun
Oktoberfest Run (PS4),https://www.metacritic.com/game/playstation-4/oktoberfest-run
OkunoKA Madness (PS4),https://www.metacritic.com/game/playstation-4/okunoka-madness
Old Man's Journey (PS4),https://www.metacritic.com/game/playstation-4/old-mans-journey
Olija (PS4),https://www.metacritic.com/game/playstation-4/olija
Oliver's Adventures in the Fairyland (PS4),https://www.metacritic.com/game/playstation-4/olivers-adventures-in-the-fairyland
OlliOlli (PS4),https://www.metacritic.com/game/playstation-4/olliolli
OlliOlli World (PS4),https://www.metacritic.com/game/playstation-4/olliolli-world
OlliOlli World: Finding the Flowzone (PS4),https://www.metacritic.com/game/playstation-4/olliolli-world-finding-the-flowzone
OlliOlli World: VOID Riders (PS4),https://www.metacritic.com/game/playstation-4/olliolli-world-void-riders
OlliOlli2: Welcome to Olliwood (PS4),https://www.metacritic.com/game/playstation-4/olliolli2-welcome-to-olliwood
OlliOlli: Epic Combo Edition (PS4),https://www.metacritic.com/game/playstation-4/olliolli-epic-combo-edition
Olympic Games Tokyo 2020: The Official Video Game (PS4),https://www.metacritic.com/game/playstation-4/olympic-games-tokyo-2020-the-official-video-game
Omega Quintet (PS4),https://www.metacritic.com/game/playstation-4/omega-quintet
Omega Strike (PS4),https://www.metacritic.com/game/playstation-4/omega-strike
OmegaBot (PS4),https://www.metacritic.com/game/playstation-4/omegabot
