title,url
#Funtime (XONE),https://www.metacritic.com/game/xbox-one/funtime
#IDARB (XONE),https://www.metacritic.com/game/xbox-one/idarb
#KILLALLZOMBIES (XONE),https://www.metacritic.com/game/xbox-one/killallzombies
#SinucaAttack (XONE),https://www.metacritic.com/game/xbox-one/sinucaattack
#WarGames (XONE),https://www.metacritic.com/game/xbox-one/wargames
'n Verlore Verstand (XONE),https://www.metacritic.com/game/xbox-one/n-verlore-verstand
0 Degrees (XONE),https://www.metacritic.com/game/xbox-one/0-degrees
10 Second Ninja X (XONE),https://www.metacritic.com/game/xbox-one/10-second-ninja-x
1001 Spikes (XONE),https://www.metacritic.com/game/xbox-one/1001-spikes
101 Ways to Die (XONE),https://www.metacritic.com/game/xbox-one/101-ways-to-die
11-11: Memories Retold (XONE),https://www.metacritic.com/game/xbox-one/11-11-memories-retold
112th Seed (XONE),https://www.metacritic.com/game/xbox-one/112th-seed
140 (XONE),https://www.metacritic.com/game/xbox-one/140
1971 Project Helios (XONE),https://www.metacritic.com/game/xbox-one/1971-project-helios
1979 Revolution: Black Friday (XONE),https://www.metacritic.com/game/xbox-one/1979-revolution-black-friday
2 Game Bundle: Tony Stewart's All-American Racing + Tony Stewart's Sprint Car Racing (XONE),https://www.metacritic.com/game/xbox-one/2-game-bundle-tony-stewarts-all-american-racing-+-tony-stewarts-sprint-car-racing
2 Synchro Hedgehogs (XONE),https://www.metacritic.com/game/xbox-one/2-synchro-hedgehogs
2048 Colorful (XONE),https://www.metacritic.com/game/xbox-one/2048-colorful
2048 Maniac (XONE),https://www.metacritic.com/game/xbox-one/2048-maniac
2048X (XONE),https://www.metacritic.com/game/xbox-one/2048x
2064: Read Only Memories (XONE),https://www.metacritic.com/game/xbox-one/2064-read-only-memories
20XX (XONE),https://www.metacritic.com/game/xbox-one/20xx
2Dark (XONE),https://www.metacritic.com/game/xbox-one/2dark
2URVIVE (XONE),https://www.metacritic.com/game/xbox-one/2urvive
3 out of 10: Season One (XONE),https://www.metacritic.com/game/xbox-one/3-out-of-10-season-one
35MM (XONE),https://www.metacritic.com/game/xbox-one/35mm
39 Days to Mars (XONE),https://www.metacritic.com/game/xbox-one/39-days-to-mars
3D Billiards: Pool & Snooker Remastered (XONE),https://www.metacritic.com/game/xbox-one/3d-billiards-pool-snooker-remastered
3D Box Sokoban (XONE),https://www.metacritic.com/game/xbox-one/3d-box-sokoban
3D Stack Ball (XONE),https://www.metacritic.com/game/xbox-one/3d-stack-ball
3D.Checkers (XONE),https://www.metacritic.com/game/xbox-one/3dcheckers
3D.Reversi (XONE),https://www.metacritic.com/game/xbox-one/3dreversi
3on3 Freestyle (XONE),https://www.metacritic.com/game/xbox-one/3on3-freestyle
41 Hours (XONE),https://www.metacritic.com/game/xbox-one/41-hours
50 Years (XONE),https://www.metacritic.com/game/xbox-one/50-years
60 Parsecs! (XONE),https://www.metacritic.com/game/xbox-one/60-parsecs!
60 Seconds! (XONE),https://www.metacritic.com/game/xbox-one/60-seconds!
60 Seconds! Reatomized (XONE),https://www.metacritic.com/game/xbox-one/60-seconds!-reatomized
6180 the Moon (XONE),https://www.metacritic.com/game/xbox-one/6180-the-moon
6Souls (XONE),https://www.metacritic.com/game/xbox-one/6souls
7 Days of Rose (XONE),https://www.metacritic.com/game/xbox-one/7-days-of-rose
7 Days to Die (XONE),https://www.metacritic.com/game/xbox-one/7-days-to-die
7th Sector (XONE),https://www.metacritic.com/game/xbox-one/7th-sector
8 to Glory: The Official Game of the PBR (XONE),https://www.metacritic.com/game/xbox-one/8-to-glory-the-official-game-of-the-pbr
8-Ball Pocket (XONE),https://www.metacritic.com/game/xbox-one/8-ball-pocket
8-Bit Adventure Anthology: Volume 1 (XONE),https://www.metacritic.com/game/xbox-one/8-bit-adventure-anthology-volume-1
8-Bit Armies (XONE),https://www.metacritic.com/game/xbox-one/8-bit-armies
8-Bit Hordes (XONE),https://www.metacritic.com/game/xbox-one/8-bit-hordes
8-Bit Invaders! (XONE),https://www.metacritic.com/game/xbox-one/8-bit-invaders!
80's OVERDRIVE (XONE),https://www.metacritic.com/game/xbox-one/80s-overdrive
88 Heroes (XONE),https://www.metacritic.com/game/xbox-one/88-heroes
88 Heroes: H8 Mode Activate! (XONE),https://www.metacritic.com/game/xbox-one/88-heroes-h8-mode-activate!
88 Heroes: RSG Champions (XONE),https://www.metacritic.com/game/xbox-one/88-heroes-rsg-champions
890B (XONE),https://www.metacritic.com/game/xbox-one/890b
8DAYS (XONE),https://www.metacritic.com/game/xbox-one/8days
9 Clues 2: The Ward (XONE),https://www.metacritic.com/game/xbox-one/9-clues-2-the-ward
9 Clues: The Secret of Serpent Creek (XONE),https://www.metacritic.com/game/xbox-one/9-clues-the-secret-of-serpent-creek
9 Monkeys of Shaolin (XONE),https://www.metacritic.com/game/xbox-one/9-monkeys-of-shaolin
911 Operator (XONE),https://www.metacritic.com/game/xbox-one/911-operator
99Vidas (XONE),https://www.metacritic.com/game/xbox-one/99vidas
9th Dawn III: Shadow of Erthil (XONE),https://www.metacritic.com/game/xbox-one/9th-dawn-iii-shadow-of-erthil
